SEASON_ID,GAME_ID,PTS,FG3A,WL
2010-11,00276074,107,8,L
2010-11,00268850,85,10,W
2010-11,00249624,101,11,L
2010-11,00291771,92,14,W
2010-11,00243689,84,12,W
2010-11,00249410,94,10,L
2010-11,00221552,84,15,L
2010-11,00234917,84,13,L
2010-11,00210342,105,10,L
2010-11,00211262,105,14,W
2010-11,00224222,100,22,L
2010-11,00291832,89,11,W
2010-11,00254046,104,15,W
2010-11,00299176,106,15,W
2010-11,00275738,93,15,L
2010-11,00243650,111,15,W
2010-11,00278077,102,14,W
2010-11,00211661,102,11,W
2010-11,00232639,67,17,W
2010-11,00284449,116,22,L
2010-11,00290357,91,20,L
2010-11,00244986,109,14,L
2010-11,00275583,85,8,L
2010-11,00223283,91,12,L
2010-11,00219080,91,4,L
2010-11,00272451,96,17,W
2010-11,00221193,93,18,L
2010-11,00263504,84,19,L
2010-11,00256185,99,9,W
2010-11,00297756,101,15,L
2010-11,00270574,85,17,L
2010-11,00287482,101,17,W
2010-11,00244501,106,15,W
2010-11,00252068,114,16,L
2010-11,00296547,84,7,L
2010-11,00220795,89,9,W
2010-11,00217035,90,17,W
2010-11,00295151,98,20,L
2010-11,00272334,102,17,W
2010-11,00283053,83,18,W
2010-11,00220212,104,16,W
2010-11,00235534,112,16,L
2010-11,00221911,106,7,W
2010-11,00264280,93,25,W
2010-11,00295919,108,16,L
2010-11,00241823,84,20,W
2010-11,00237863,99,18,L
2010-11,00257124,89,15,W
2010-11,00275095,83,13,W
2010-11,00268052,87,16,L
2010-11,00264613,97,10,L
2010-11,00291083,97,15,L
2010-11,00252709,96,14,L
2010-11,00261401,98,23,L
2010-11,00243668,106,18,L
2010-11,00215764,106,18,W
2010-11,00237530,89,14,L
2010-11,00214977,99,22,W
2010-11,00235544,116,11,L
2010-11,00259224,94,10,W
2010-11,00298468,84,13,W
2010-11,00275536,95,22,L
2010-11,00231227,93,11,W
2010-11,00265226,92,11,L
2010-11,00279791,92,20,L
2010-11,00264600,83,19,L
2010-11,00229015,120,9,L
2010-11,00230976,90,20,W
2010-11,00259403,105,20,W
2010-11,00279845,105,9,L
2010-11,00210125,80,22,L
2010-11,00273354,106,14,W
2010-11,00268304,81,12,L
2010-11,00211853,84,17,L
2010-11,00278245,114,16,W
2010-11,00291020,92,12,W
2010-11,00232086,91,8,W
2010-11,00294887,105,19,L
2010-11,00215094,99,15,W
2010-11,00262967,97,14,W
2010-11,00240316,108,17,L
2010-11,00245749,89,15,W
2010-11,00220700,92,17,W
2010-11,00221658,89,21,W
2010-11,00211376,92,14,W
2010-11,00220985,92,20,L
2010-11,00250610,96,15,W
2010-11,00252394,104,23,L
2010-11,00245001,84,15,L
2010-11,00258776,89,15,W
2010-11,00235530,88,14,W
2010-11,00292522,71,9,W
2010-11,00242475,101,3,L
2010-11,00241609,97,15,W
2010-11,00240523,102,6,W
2010-11,00285169,100,11,W
2010-11,00234972,89,10,L
2010-11,00273732,89,14,W
2010-11,00280041,97,12,W
2010-11,00257538,88,18,L
2023-24,00235352,110,36,L
2023-24,00221454,132,38,W
2023-24,00222608,105,29,L
2023-24,00224041,123,39,W
2023-24,00222541,100,31,L
2023-24,00245031,119,32,L
2023-24,00223060,98,37,L
2023-24,00255177,111,33,L
2023-24,00224537,136,35,L
2023-24,00297308,116,42,W
2023-24,00294450,121,34,L
2023-24,00270171,124,35,L
2023-24,00257837,126,39,W
2023-24,00272426,115,40,W
2023-24,00273642,90,37,W
2023-24,00260837,126,25,W
2023-24,00223134,117,30,L
2023-24,00252521,111,27,W
2023-24,00215870,118,36,W
2023-24,00276455,123,34,W
2023-24,00271861,104,30,L
2023-24,00292278,95,30,L
2023-24,00256018,108,41,W
2023-24,00286213,104,31,W
2023-24,00264408,111,30,L
2023-24,00214394,130,34,W
2023-24,00232205,124,33,L
2023-24,00296024,118,28,L
2023-24,00256437,119,39,L
2023-24,00252886,103,30,L
2023-24,00217359,114,31,W
2023-24,00277788,104,31,L
2023-24,00269508,102,31,W
2023-24,00248368,77,33,L
2023-24,00247367,100,27,W
2023-24,00288078,126,38,W
2023-24,00237445,129,28,L
2023-24,00262034,108,30,W
2023-24,00278176,117,28,L
2023-24,00271395,122,34,L
2023-24,00295879,131,37,L
2023-24,00252598,131,32,W
2023-24,00285515,111,41,W
2023-24,00226983,112,34,L
2023-24,00279268,119,35,W
2023-24,00244221,123,25,W
2023-24,00215220,110,33,L
2023-24,00223829,102,28,L
2023-24,00289462,108,39,W
2023-24,00266440,123,31,L
2023-24,00251981,120,34,L
2023-24,00287205,113,36,L
2023-24,00256912,106,41,W
2023-24,00272578,126,39,L
2023-24,00230330,105,38,L
2023-24,00277951,128,32,W
2023-24,00228144,124,41,L
2023-24,00268582,105,38,L
2023-24,00239504,122,36,W
2023-24,00289859,96,37,L
2023-24,00214133,122,31,L
2023-24,00221582,99,39,L
2023-24,00264885,113,31,L
2023-24,00239022,118,27,W
2023-24,00256684,120,36,W
2023-24,00286915,96,24,L
2023-24,00239115,111,30,W
2023-24,00267526,103,35,W
2023-24,00226769,110,35,L
2023-24,00250451,106,29,L
2023-24,00220049,114,37,W
2023-24,00267995,120,19,L
2023-24,00237441,105,40,W
2023-24,00298102,131,36,L
2023-24,00277246,131,40,L
2023-24,00213803,134,28,L
2023-24,00273001,105,36,L
2023-24,00217481,128,37,W
2023-24,00262373,106,27,L
2023-24,00225732,113,40,W
2023-24,00253114,122,36,W
2023-24,00280043,122,42,W
2023-24,00256579,125,42,W
2023-24,00264197,123,34,W
2023-24,00277435,117,36,W
2023-24,00286502,109,31,W
2023-24,00286280,102,39,L
2023-24,00251981,101,38,L
2023-24,00258149,126,32,W
2023-24,00283910,101,35,W
2023-24,00282545,118,37,W
2023-24,00218597,109,36,L
2023-24,00252405,111,29,L
2023-24,00243245,97,38,L
2023-24,00280808,144,38,L
2023-24,00279641,102,31,L
2023-24,00223558,121,35,W
2023-24,00258784,114,35,W
2023-24,00293800,132,41,W
2023-24,00228446,99,37,L
