SEASON_ID,PLAYER_NAME,SIMPLE_POS,FG3A
2010-11,Player_4195,Forward,1
2010-11,Player_1364,Forward,4
2010-11,Player_2276,Forward,2
2010-11,Player_4771,Guard,2
2010-11,Player_8673,Center,0
2010-11,Player_7830,Center,0
2010-11,Player_2846,Forward,2
2010-11,Player_7927,Forward,1
2010-11,Player_1340,Guard,9
2010-11,Player_2767,Guard,10
2010-11,Player_1355,Center,0
2010-11,Player_9499,Center,0
2010-11,Player_1255,Forward,5
2010-11,Player_4602,Center,0
2010-11,Player_9893,Guard,5
2010-11,Player_4633,Guard,2
2010-11,Player_7250,Center,0
2010-11,Player_5442,Center,0
2010-11,Player_3485,Forward,2
2010-11,Player_8920,Forward,2
2010-11,Player_4463,Forward,1
2010-11,Player_6693,Forward,2
2010-11,Player_4761,Forward,1
2010-11,Player_7252,Center,0
2010-11,Player_3787,Guard,4
2010-11,Player_9282,Center,0
2010-11,Player_1572,Forward,2
2010-11,Player_3752,Forward,1
2010-11,Player_6642,Forward,1
2010-11,Player_2390,Center,0
2010-11,Player_5693,Center,0
2010-11,Player_5013,Center,0
2010-11,Player_6461,Center,0
2010-11,Player_9937,Forward,1
2010-11,Player_8572,Guard,4
2010-11,Player_3594,Center,0
2010-11,Player_2175,Forward,5
2010-11,Player_9350,Guard,3
2010-11,Player_1915,Forward,1
2010-11,Player_6808,Forward,1
2010-11,Player_7444,Center,0
2010-11,Player_6089,Guard,6
2010-11,Player_7706,Center,0
2010-11,Player_8323,Center,0
2010-11,Player_2276,Forward,1
2010-11,Player_8893,Center,0
2010-11,Player_5227,Center,0
2010-11,Player_3165,Center,0
2010-11,Player_7980,Forward,2
2010-11,Player_9958,Forward,1
2011-12,Player_7000,Guard,7
2011-12,Player_7138,Center,0
2011-12,Player_4705,Center,0
2011-12,Player_5513,Guard,5
2011-12,Player_2052,Guard,2
2011-12,Player_3122,Guard,4
2011-12,Player_3158,Guard,2
2011-12,Player_1419,Forward,4
2011-12,Player_4896,Guard,2
2011-12,Player_8603,Forward,4
2011-12,Player_6626,Center,0
2011-12,Player_5939,Center,0
2011-12,Player_5677,Guard,4
2011-12,Player_1446,Guard,4
2011-12,Player_6455,Guard,4
2011-12,Player_6061,Guard,3
2011-12,Player_3869,Center,0
2011-12,Player_8506,Forward,1
2011-12,Player_1144,Forward,2
2011-12,Player_3306,Guard,2
2011-12,Player_6826,Center,0
2011-12,Player_9080,Center,1
2011-12,Player_2757,Center,0
2011-12,Player_4033,Forward,9
2011-12,Player_5955,Center,0
2011-12,Player_2177,Guard,4
2011-12,Player_5796,Guard,3
2011-12,Player_5831,Guard,7
2011-12,Player_4765,Forward,3
2011-12,Player_6912,Guard,7
2011-12,Player_7547,Guard,3
2011-12,Player_6210,Forward,2
2011-12,Player_1617,Forward,2
